process,pid,timestamp,cpu_percent,mem_mb
fatigue_std_uniquelock,2092159,1779025821.598,7.00,12.30
fatigue_std_uniquelock,2092159,1779025822.609,6.90,12.30
fatigue_std_uniquelock,2092159,1779025823.620,5.90,12.30
fatigue_std_uniquelock,2092159,1779025824.633,6.90,12.30
fatigue_std_uniquelock,2092159,1779025825.635,7.00,12.30
fatigue_std_uniquelock,2092159,1779025826.637,7.00,12.30
fatigue_std_uniquelock,2092159,1779025827.645,6.90,12.30
fatigue_std_uniquelock,2092159,1779025828.656,5.90,12.30
fatigue_std_uniquelock,2092159,1779025829.658,7.00,12.30
fatigue_std_uniquelock,2092159,1779025830.661,5.00,12.30
fatigue_std_uniquelock,2092159,1779025831.665,6.00,12.30
fatigue_std_uniquelock,2092159,1779025832.667,7.00,12.30
fatigue_std_uniquelock,2092159,1779025833.681,6.90,12.30
fatigue_std_uniquelock,2092159,1779025834.692,5.90,12.30
fatigue_std_uniquelock,2092159,1779025835.702,6.90,12.30
fatigue_std_uniquelock,2092159,1779025836.704,6.00,12.30
fatigue_std_uniquelock,2092159,1779025837.706,6.00,12.30
fatigue_std_uniquelock,2092159,1779025838.711,7.00,12.30
fatigue_std_uniquelock,2092159,1779025839.713,5.00,12.30
fatigue_std_uniquelock,2092159,1779025840.715,0.00,0.00
